pH,SpConduct,DissOxy,RoadsPct,IndPct,UrbanPct,DevPct,WellClass,Aquifier,Depth,SafeYld,Distance,MTBEDetect,MTBE,HouseDen,PopDen
16,7.55,656.2,3.03,4.42,1.71,52.91,52.91,Private,Bedrock,NA,NA,2319.45,BelowLimit,0.2,902.32,231.08
17,8.14,209.3,0.59,2.93,0,49.47,49.47,Private,Bedrock,92.964,NA,2652,BelowLimit,0.2,159.78,0
18,7.36,2932,0.41,2.3,1.91,46.07,46.07,Private,Bedrock,NA,NA,2079.43,BelowLimit,0.2,278.95,84.24
19,7.95,655.2,0.5,3.99,0,15.66,15.66,Private,Bedrock,36.576,NA,1289.45,BelowLimit,0.2,39.65,13.83
20,8.1,253.9,0.3,3.1,1.76,40.74,40.75,Private,Bedrock,55.7784,NA,704.54,BelowLimit,0.2,189.27,50.47
21,6.91,801.9,4.73,3.46,7.63,66.18,66.59,Private,Bedrock,NA,NA,534.73,BelowLimit,0.2,624.61,280.68
22,7.56,516.1,0.51,6.04,0,50.21,50.21,Private,Bedrock,42.672,NA,1953.26,Detect,2.44,798.59,244.47
23,7.15,482.6,3.43,0.48,0,7.17,7.17,Private,Bedrock,159.4104,NA,3073.95,BelowLimit,0.2,93.88,30.29
24,7.82,573.6,2,2.06,0,39.18,39.18,Private,Bedrock,NA,NA,3758.84,BelowLimit,0.2,164.77,59.92
25,8.67,213,2.45,3.85,0,57.58,77.19,Private,Bedrock,115.824,NA,852.4,BelowLimit,0.2,1425.35,457.19
26,7.17,275.6,4.31,1.71,0,28.03,29.14,Private,Bedrock,76.2,NA,1846.88,BelowLimit,0.2,109.21,38.65
27,8.49,163.5,8,1.12,0,6.82,18.41,Private,Bedrock,NA,NA,2761.02,BelowLimit,0.2,8,8
28,7.15,142.4,0.34,2.29,0,42.22,42.22,Private,Bedrock,54.864,NA,3660.18,BelowLimit,0.2,102.06,32.36
29,8.12,217.6,0.36,1.85,0,13.69,14.38,Private,Bedrock,91.44,NA,4464.04,BelowLimit,0.2,62.74,19.03
30,8.48,299.7,0.1,1.39,0,20.77,20.77,Private,Bedrock,137.16,NA,4326.18,BelowLimit,0.2,77.37,28.13
31,7.07,418.4,2.95,3,0,36.38,36.38,Private,Bedrock,43.2816,NA,1748.02,BelowLimit,0.2,99.49,33.16
32,7.87,209.3,3.29,0.81,0,7.29,15.61,Private,Bedrock,103.632,NA,1643.68,Detect,0.31,18.76,7.25
33,9.46,238.3,7.76,0.72,0,6.75,6.75,Private,Bedrock,129.2352,NA,3060.33,BelowLimit,0.2,23.52,7.13
34,8.66,425.7,1,2.9,0,41.36,41.36,Private,Bedrock,NA,NA,1891.51,BelowLimit,0.2,51.7,19.19
35,7.87,528.5,2.21,3.56,0,81.13,96.04,Private,Bedrock,76.2,NA,1714.4,Detect,0.97,269.57,88.06
36,7.13,542.6,2.73,0.92,0,14.69,19.32,Private,Bedrock,60.96,NA,1980.28,BelowLimit,0.2,168.77,71.34
37,8.08,574.8,0.72,2.58,2.46,33.48,37.27,Private,Bedrock,NA,NA,495.66,BelowLimit,0.2,234.92,113.41
38,8.07,344.2,0.55,3.65,0,70.84,71.97,Private,Bedrock,48.768,NA,1067.79,Detect,1.71,392.65,127.03
39,6.56,199.1,2.06,4.73,2.25,93.42,93.42,Private,Bedrock,NA,NA,1312.44,BelowLimit,0.2,1025.48,384.56
40,7.73,386.1,2.29,0.62,0,8.81,14.04,Private,Bedrock,92.3544,NA,3649.14,BelowLimit,0.2,66.29,21.64
41,7.89,1807,0.44,2.17,2.26,38.95,51,Private,Bedrock,110.0328,NA,1632.66,BelowLimit,0.2,22.61,8.41
42,8.52,162,0.24,1.07,0,17.2,31.89,Private,Bedrock,98.4504,NA,2378.3,BelowLimit,0.2,66.29,21.64
43,6.7,402.8,4,1.3,0,24.52,24.52,Private,Bedrock,NA,NA,1582.48,BelowLimit,0.2,437.77,116.43
44,7.29,577.1,2.46,1.09,0,20,20,Private,Bedrock,NA,NA,1590.87,BelowLimit,0.2,71.58,20.21
45,6.67,615.3,2.38,4.18,0,68.59,68.59,Private,Bedrock,NA,NA,2552.87,Detect,0.26,405.37,127.06
46,9.19,203,2.67,0.49,0,3.75,3.75,Private,Bedrock,182.88,NA,2685.3,Detect,2.67,45.67,15.44
47,6.77,191,0.68,1.85,0,10.92,10.92,Private,Bedrock,NA,NA,4671.88,BelowLimit,0.2,36.95,17.24
48,8.1,165,0.42,3.08,0,63.59,66.62,Private,Bedrock,NA,NA,2277.12,BelowLimit,0.2,204.43,63.7
49,7.97,225,0.33,2.26,4.41,40.29,55.52,Private,Bedrock,153.924,NA,1584.78,BelowLimit,0.2,120.1,51.99
50,8.21,153.9,1.83,2.09,0.24,47.55,65.61,Private,Bedrock,68.58,NA,2154.46,BelowLimit,0.2,204.43,63.7
51,8.32,240.8,0.93,1.87,0,35.02,35.02,Private,Bedrock,137.16,NA,3438.3,BelowLimit,0.2,245.17,75.5
52,8.3,277.4,0.5,2.02,5.87,17.98,29.35,Private,Bedrock,NA,NA,1542.17,BelowLimit,0.2,83.45,31.29
53,9.48,409.7,0.25,3.3,1.16,23.92,30.79,Private,Bedrock,121.92,NA,296.95,Detect,0.33,39.56,32.62
54,7.19,419.6,2.14,1.76,0,34.12,34.12,Private,Bedrock,76.2,NA,1348.52,BelowLimit,0.2,96.41,29.29
55,7.06,138.7,4.88,0.88,0,8.51,11.14,Private,Bedrock,54.864,NA,582.1,BelowLimit,0.2,48.72,18.56
56,5.58,865.2,2.86,1.97,0.56,17.49,25.99,Private,Bedrock,47.244,NA,384.69,BelowLimit,0.2,23.52,7.13
57,8.33,201.5,0.18,3.1,0,36.42,36.42,Private,Bedrock,153.924,NA,898.79,BelowLimit,0.2,274.72,82.64
58,7.24,693,0.39,1.93,0,27.48,27.48,Private,Bedrock,115.824,NA,2167.92,Detect,0.24,169.69,56.16
59,8.36,272.1,0.31,2.68,2.66,40.91,45.08,Private,Bedrock,159.4104,NA,200.47,BelowLimit,0.2,290.94,100.82
60,8.34,178,1.69,2.58,0,48.91,48.91,Private,Bedrock,254.508,NA,2806.03,BelowLimit,0.2,215.46,70.79
61,7.97,231.9,0.8,2.08,0,33.77,34.54,Private,Bedrock,NA,NA,2530.6,BelowLimit,0.2,428.05,115.74
62,7.7,341.1,1.02,2.65,0,45.31,45.31,Private,Bedrock,111.252,NA,4902.19,Detect,0.93,298.13,91.09
63,5.62,883.7,3.13,3.07,1.92,44.01,50.34,Private,Bedrock,NA,NA,1319.92,Detect,0.34,335,100.24
64,6.66,1472,3.61,2.95,5.1,42.34,49.68,Private,Bedrock,67.056,NA,972.24,Detect,0.37,335,100.24
65,5.94,216.9,7.86,2.2,0,24.64,25.42,Private,Bedrock,36.2712,NA,1129.44,BelowLimit,0.2,169.54,73.32
66,8.02,164.1,5.78,0.14,0,4.63,4.63,Private,Bedrock,114.3,NA,1519.17,BelowLimit,0.2,51.08,17.77
67,7.37,338.6,5.25,1.7,0,21.59,57.54,Private,Bedrock,30.48,NA,2527.29,BelowLimit,0.2,70.13,36.36
68,5.83,454.5,5.98,1.62,0,7.83,19.92,Private,Bedrock,91.44,NA,3249.34,BelowLimit,0.2,32.37,22.37
69,7.12,180.8,4.59,1.76,0,28.22,28.22,Private,Bedrock,174.9552,NA,1849.1,BelowLimit,0.2,39.92,12.22
70,6.65,362.6,3.88,1.52,0,20.92,21.22,Private,Bedrock,NA,NA,1214.51,BelowLimit,0.2,439.55,109.89
71,6.26,1130,6.99,4.2,1.37,47.01,47.01,Private,Bedrock,103.632,NA,1579.3,BelowLimit,0.2,431.12,130.34
72,6.42,622.3,6.98,0.76,0,11.45,16.78,Private,Bedrock,53.34,NA,4467.88,BelowLimit,0.2,34.01,11.51
73,6.06,886.6,1,2.64,0,11.19,11.19,Private,Bedrock,92.6592,NA,1728,BelowLimit,0.2,97.78,37.61
74,6.43,466.2,2.18,2.43,0,44.33,44.33,Private,Bedrock,91.44,NA,2757.15,BelowLimit,0.2,273.4,83.5
75,7.45,265.7,4.85,3.79,0,58.72,58.72,Private,Bedrock,245.364,NA,951.09,BelowLimit,0.2,54.85,19.51
76,8.16,161.9,0.4,2.98,0,39.37,39.37,Private,Bedrock,NA,NA,1351.95,BelowLimit,0.2,54.85,19.51
77,7.31,227.3,1.56,2.4,0,42.33,42.34,Private,Bedrock,NA,NA,1266.05,BelowLimit,0.2,43.58,16.34
78,7.59,11.36,1.02,1.28,0,22.78,28.49,Private,Bedrock,91.44,NA,2624.08,BelowLimit,0.2,108.81,40.99
79,7.51,410.3,0.49,2.14,0,35.02,35.02,Private,Bedrock,NA,NA,1441.05,Detect,1.16,166.13,52.08
80,7.13,536.6,0.4,4.8,2.15,56.99,56.99,Private,Bedrock,91.44,NA,2407.7,Detect,1.6,215.44,77.05
81,8.09,465.1,0.43,4.9,2.91,36.32,54.99,Private,Bedrock,121.92,NA,747.75,BelowLimit,0.2,138.12,58.57
82,8.33,1231,0.44,0.97,1.1,12.7,50.78,Private,Bedrock,121.92,NA,1179.23,BelowLimit,0.2,84.25,30.76
83,7.4,220.6,1.36,2.26,4.9,40.16,52.01,Private,Bedrock,73.152,NA,754.58,BelowLimit,0.2,203.29,83.16
84,5.66,473.2,4.98,1,0,15.28,15.57,Private,Bedrock,51.816,NA,2694.44,BelowLimit,0.2,138.05,43.92
85,8.36,277.9,0.27,3.24,0,34.11,36.18,Private,Bedrock,36.576,NA,3322.18,Detect,0.33,590,162.25
86,7.64,201,4.44,0.8,1,7.88,7.88,Private,Bedrock,152.4,NA,2224.19,BelowLimit,0.2,20.79,6.8
87,8.39,236.7,0.56,0.86,0,24,38.13,Private,Bedrock,128.3208,NA,2682.48,BelowLimit,0.2,43.85,15.58
88,5.91,387.8,6.72,4.56,0,44.22,44.22,Private,Bedrock,38.1,NA,2944.24,Detect,3.86,741.85,209.24
89,8.26,204.6,2.7,1.93,0,31.34,35,Private,Bedrock,243.84,NA,1522.78,Detect,0.31,57.86,19.02
90,6.18,190.3,4.17,0.85,0,12.4,25.56,Private,Bedrock,159.4104,NA,5180.58,BelowLimit,0.2,3.09,1.33
91,6.72,280.4,0.78,0.81,0,7.63,7.63,Private,Bedrock,85.344,NA,3458.03,BelowLimit,0.2,20.12,7.04
92,8.22,175.9,1.32,0.48,0,5.59,5.59,Private,Bedrock,128.9304,NA,2762.89,BelowLimit,0.2,20.12,7.04
93,7.97,331.7,0.44,0,0,0,0,Private,Bedrock,NA,NA,365.9,BelowLimit,0.2,NA,NA
94,6.59,265.1,6.29,2.58,0.59,23.43,23.43,Private,Bedrock,18.8976,NA,784.06,BelowLimit,0.2,42.1,14.52
95,8.24,694.3,3.27,3.5,0,49.35,49.35,Private,Bedrock,91.44,NA,1711.46,Detect,0.39,174.77,85.67
96,7.15,545.7,0.11,1,0,16.09,19.34,Private,Bedrock,NA,NA,3181.14,Detect,0.48,30.89,10.59
97,7.43,165.1,1.68,2.26,0,27.31,31.68,Private,Bedrock,79.248,NA,3094.32,BelowLimit,0.2,40.94,13.82
98,7.87,199.2,0.24,1.99,3.56,33.22,33.22,Private,Bedrock,45.72,NA,687.07,BelowLimit,0.2,417.65,159.69
99,8.11,227.9,0.23,0.76,0,15.18,15.18,Private,Bedrock,45.72,NA,1082.94,BelowLimit,0.2,8.17,4.22
100,8.22,135.4,0.44,1.86,0,43.71,43.71,Private,Bedrock,88.392,NA,1832.5,BelowLimit,0.2,206.68,77.74
101,7.61,608.1,0.61,2.05,0,38.58,38.58,Private,Bedrock,121.92,NA,2685.91,BelowLimit,0.2,62.87,29.94
102,6.68,93.5,4.39,1.83,0,20.73,21.68,Private,Bedrock,30.48,NA,2772.19,BelowLimit,0.2,233.8,66.8
103,7.52,265.2,0.46,3.14,0,31.15,31.15,Private,Bedrock,47.244,NA,831.1,BelowLimit,0.2,113.98,48.5
104,7.43,663.2,0.56,2.26,0,27.42,27.42,Public,Unconsoli,15.24,1514.00454,1142.56,Detect,0.25,17.71,7.38
105,7.76,919.3,6.63,10.62,22.41,72.02,72.71,Public,Unconsoli,15.24,1324.75397,274.61,BelowLimit,0.2,132.22,46.2
106,7.01,409.9,5.94,1.58,0.84,20.88,20.88,Public,Unconsoli,19.2024,1052.23316,775.4,BelowLimit,0.2,92.24,33.89
107,6.55,248.6,7.07,2.09,1.34,40.59,49.97,Public,Unconsoli,15.24,946.252839,685.17,BelowLimit,0.2,375.34,114.84
108,7.91,223,10.6,4.1,6.54,43.08,43.08,Public,Unconsoli,14.6304,946.252839,3192.79,BelowLimit,0.2,77.01,34.23
109,7.51,428.5,7.94,1.95,0,35.42,51.9,Public,Unconsoli,24.9936,946.252839,2440.35,Detect,1.06,146.11,52.56
110,7.7,558.1,1.43,1.92,0,8.24,22.54,Public,Unconsoli,18.288,757.002271,2573.78,BelowLimit,0.2,63.76,20.5
111,6.1,188.2,0.74,0.7,3.52,5.4,14.01,Public,Unconsoli,NA,757.002271,804.76,BelowLimit,0.2,53.03,22.27
112,6.57,460.4,1.26,0.54,0,6.84,67.8,Public,Unconsoli,15.24,567.751703,3009.59,BelowLimit,0.2,24.47,7.71
113,7.64,483,0.35,5.4,0,56.33,56.33,Public,Bedrock,48.768,492.051476,1059.41,Detect,0.35,698.3,255.29
114,7.58,399.7,1.74,2.73,18.35,40.83,40.83,Public,Bedrock,99.06,473.126419,130.48,Detect,3.1,150.51,56.71
115,7.87,225.1,5.22,1.42,0,18.63,18.63,Public,Bedrock,42.672,378.501136,3627.21,BelowLimit,0.2,54.74,17.42
116,8.09,248.5,0.37,3.04,11.8,52.54,56.8,Public,Bedrock,106.68,378.501136,1090.68,BelowLimit,0.2,85.07,27.31
117,7.9,516.6,0.4,3.42,1.91,66.43,71.67,Public,Bedrock,68.58,325.510977,1478.05,BelowLimit,0.2,278.95,84.24
118,6.4,527.8,2.14,2.41,0,29.03,31.36,Public,Bedrock,42.672,264.950795,1945.64,Detect,0.39,221.41,92.23
119,8.05,199.9,0.42,0,0,0.52,0.52,Public,Bedrock,80.772,246.025738,1049.97,BelowLimit,0.2,37.92,13.97
120,7.66,293.7,0.79,3.55,3.2,36.81,36.81,Public,Bedrock,91.44,227.100681,1346.78,BelowLimit,0.2,479.3,282.69
121,8.08,387.8,0.71,2.86,4.21,62.71,62.71,Public,Bedrock,155.448,227.100681,1379.81,BelowLimit,0.2,913.53,393.52
122,7.28,294,3.33,2.59,1.67,45.22,45.64,Public,Bedrock,60.96,227.100681,891.93,Detect,0.36,352.28,115.77
123,6.31,165.7,3.07,3.73,0,58.83,60.84,Public,Unconsoli,13.4112,189.250568,1941.97,BelowLimit,0.2,554.57,163.11
124,7.22,1178,0.39,4.57,3.11,42.9,42.92,Public,Bedrock,286.8168,189.250568,996.74,Detect,1.01,199.29,68.72
125,7.98,240.7,0.34,0,0,0.52,0.99,Public,Bedrock,68.58,170.325511,953.12,BelowLimit,0.2,37.92,13.97
126,8.39,413.5,0.48,2.97,2.2,32.56,32.56,Public,Bedrock,81.6864,158.970477,610.9,Detect,0.33,500.28,200.11
127,7.84,439.1,5.07,3.11,0,64.88,66.4,Public,Bedrock,100.584,151.400454,1007.11,Detect,1.48,553.21,146.58
128,6.28,360.3,2.98,2.33,0,27.5,29.67,Public,Bedrock,77.724,151.400454,1978.78,Detect,0.35,221.41,92.23
129,6.94,428.2,0.36,3.62,3.09,41.16,50.71,Public,Bedrock,121.92,143.830431,335.22,BelowLimit,0.2,221.41,92.23
130,7.47,871.5,0.39,4.62,3.07,43.55,43.55,Public,Bedrock,225.552,140.04542,1006.58,Detect,0.83,199.29,68.72
131,6.49,287.5,4.77,3.57,14.14,44.61,50.17,Public,Bedrock,53.34,132.475397,264.93,Detect,0.23,99.79,47.59
132,6.05,78.6,6.93,3.57,0.68,52.62,60.2,Public,Unconsoli,10.668,132.475397,1664.94,BelowLimit,0.2,367.48,146.05
133,6.41,444.2,2.52,3.97,0.85,62.02,62.02,Public,Bedrock,54.864,132.475397,1516.36,BelowLimit,0.2,156.85,49.18
134,8.73,541.3,7.81,5.16,17.11,34.17,41.15,Public,Bedrock,182.88,121.120363,111.42,Detect,0.49,164.3,0
135,7.22,286.5,0.6,3.28,0,40.78,40.78,Public,Bedrock,45.72,113.550341,367.52,BelowLimit,0.2,117.22,0
136,7.08,1034,6.89,4.22,0,66.89,70.52,Public,Bedrock,79.248,113.550341,1245.9,BelowLimit,0.2,1225.49,318.63
137,7.14,1068,1.23,4.62,0,70.67,74.3,Public,Bedrock,79.248,113.550341,1244.09,BelowLimit,0.2,1225.49,318.63
138,7.45,359.5,1.53,1.36,0,20.66,26.7,Public,Bedrock,42.672,113.550341,2487.94,BelowLimit,0.2,269.24,82.93
139,7.47,359.2,1.53,1.37,0,20.65,26.86,Public,Bedrock,42.672,113.550341,2487.54,BelowLimit,0.2,269.24,82.93
140,7.86,493.9,0.47,4.53,8.92,58.56,66.52,Public,Bedrock,45.72,113.550341,738.61,Detect,4.02,699.43,310.98
141,8.04,306.1,0.28,3.1,0,48.42,51.4,Public,Bedrock,109.728,113.550341,1729.81,BelowLimit,0.2,129.42,56.62
142,7.64,103.7,6.82,1.8,0,37.22,62.56,Public,Bedrock,45.72,113.550341,3632.06,BelowLimit,0.2,143.84,41.95
143,6.12,395.1,3.22,4.39,0,61.97,66.88,Public,Bedrock,182.88,113.550341,2193.56,Detect,2.97,336.82,129.05
144,8.56,623.1,0.41,1.88,23.77,30.32,57.13,Public,Bedrock,57.912,113.550341,406.54,BelowLimit,0.2,164.56,56.04
145,7.61,497.7,7.84,1.15,0.16,19.25,21.5,Public,Bedrock,54.864,109.765329,786.84,BelowLimit,0.2,176.17,60.91
146,7.44,144,0.39,2.95,0,40.82,43.1,Public,Bedrock,200.5584,105.980318,405.78,Detect,1.29,314.98,224.98
147,7.57,1235,1.14,4.11,0,69.45,69.45,Public,Bedrock,91.44,102.195307,1075.11,Detect,2.06,712.04,265.1
148,5.28,671.2,4.72,1.3,7.44,18.61,18.61,Public,Bedrock,42.672,98.410295,56.25,Detect,2.92,672.16,339.54
149,5.34,625.9,4.45,1.3,7.44,18.61,18.61,Public,Bedrock,73.152,98.410295,51.53,Detect,2.23,672.16,339.54
150,6.5,287.9,4.18,3.12,0,47.57,48.39,Public,Bedrock,121.92,94.625284,549.75,Detect,1.5,247.23,0
151,7.66,114.1,2.74,4.7,0,35.84,35.95,Public,Bedrock,97.536,94.625284,2861.51,BelowLimit,0.2,86,26.41
152,8.1,200.2,0.72,1.6,0.21,22.95,22.95,Public,Bedrock,97.536,94.625284,574.59,Detect,0.26,103.03,58.23
153,7,392.3,0.42,3.71,3.09,41.4,50.07,Public,Bedrock,153.924,94.625284,330.46,BelowLimit,0.2,221.41,92.23
154,7.97,304.8,0.48,3.14,8.87,26.68,26.68,Public,Bedrock,182.88,94.625284,391.18,Detect,6.43,141.84,68.93
155,7.96,318.5,0.36,3.15,8.81,26.61,26.61,Public,Bedrock,182.88,94.625284,386.26,Detect,3.57,141.84,68.93
156,7.82,203.5,0.51,5.35,13.02,62.17,70.43,Public,Bedrock,152.4,94.625284,470.44,BelowLimit,0.2,240.15,87.65
157,8.06,273.1,0.4,1.25,0,22.61,25.19,Public,Bedrock,42.672,90.840272,2493.96,BelowLimit,0.2,83.66,24.52
158,6.33,420.9,3.32,1.48,4.86,23.02,32.98,Public,Bedrock,48.768,83.27025,597.65,BelowLimit,0.2,51.5,18.27
159,8.38,562.7,0.55,2,0,30.74,36.45,Public,Bedrock,48.768,83.27025,2270.32,BelowLimit,0.2,158.45,72.98
160,5.77,37.3,8.31,4.44,0,21.47,21.82,Public,Unconsoli,5.7912,75.700227,2181.65,BelowLimit,0.2,65.12,417.66
161,6.15,291.4,8.14,3.16,10.8,41.78,52.06,Public,Unconsoli,7.9248,75.700227,929.21,BelowLimit,0.2,93.88,30.29
162,6.53,221.8,0.39,1.28,0,10.14,23.11,Public,Bedrock,48.768,75.700227,1084.34,BelowLimit,0.2,152.11,45.63
163,8.22,584.7,4.5,2.26,0,25.59,39.68,Public,Bedrock,152.4,68.130204,2832.47,BelowLimit,0.2,202.03,114.41
164,7.75,408.8,7.52,2.14,0,23.41,32.28,Public,Bedrock,89.916,64.345193,4147.82,Detect,4.16,178.29,52.88
165,5.59,906.7,3.61,1.73,4.84,14.95,14.95,Public,Bedrock,76.2,56.77517,265.08,Detect,0.26,142.96,68.64
166,8.02,399.3,0.35,1.97,0,22.4,30.36,Public,Bedrock,214.884,56.77517,1098.26,BelowLimit,0.2,89.76,30.77
167,8.04,238.4,0.46,1.6,0,22.36,23.99,Public,Bedrock,140.208,56.77517,553.67,BelowLimit,0.2,31.78,13.84
168,7.41,570,1.76,1.66,13.75,32.83,32.83,Public,Bedrock,146.304,56.77517,911.75,BelowLimit,0.2,79.56,28.78
169,6.65,405.5,0.53,4.41,0,62.01,66.96,Public,Bedrock,134.112,56.77517,2197.44,Detect,2.21,336.82,129.05
170,7.87,304.2,1.57,0.07,0,4.54,4.54,Public,Bedrock,129.54,56.77517,1150.91,BelowLimit,0.2,102.33,35.7
171,6.53,304.8,6.33,0.06,0,0.06,0.06,Public,Bedrock,99.06,45.420136,3632.12,Detect,0.27,25.85,9.9
172,7.32,209.5,3.51,0,0,0,0,Public,Bedrock,152.4,41.635125,2315.74,Detect,3.33,127.54,NA
173,6.3,2176,0.41,3.13,0,37.07,37.07,Public,Bedrock,60.96,37.850114,162.03,Detect,0.39,800.1,373.38
174,7.81,189.5,8.26,0.71,0,8.24,19.35,Public,Bedrock,79.248,37.850114,1842.73,BelowLimit,0.2,18.76,7.25
175,7.7,441,1.84,1.42,0,26.59,31.87,Public,Bedrock,91.44,37.850114,3084.46,Detect,0.72,160.71,79.86
176,7.49,873.5,0.45,2.62,0,59.66,61.18,Public,Bedrock,77.1144,37.850114,1114.43,BelowLimit,0.2,553.21,146.58
177,7.59,390.4,2.25,4.23,17.46,41.13,53.45,Public,Bedrock,112.776,37.850114,782.47,Detect,2.7,134.04,57.45
178,6.95,532.6,0.41,3.75,0,54.85,54.85,Public,Bedrock,61.5696,37.850114,626.39,BelowLimit,0.2,370.43,166.26
179,6.58,577.2,3.19,1.45,11.47,17.08,17.99,Public,Bedrock,76.2,37.850114,1193.43,BelowLimit,0.2,63.03,21.01
180,6.91,293.9,0.44,2.88,8.11,27.61,27.61,Public,Bedrock,152.4,34.065102,888.77,Detect,0.3,1059.28,437.53
181,8.17,301.7,1.1,1.57,0,26.54,29.36,Public,Bedrock,152.4,34.065102,2909.45,Detect,2.14,160.71,79.86
182,8.96,213.3,0.1,3.22,12.44,22.99,30.56,Public,Bedrock,134.112,34.065102,2957.61,BelowLimit,0.2,34.97,11.77
183,7.78,352.3,4.79,3.17,8.42,25.58,25.58,Public,Bedrock,182.88,32.172596,333.35,Detect,2.61,141.84,68.93
184,7.24,101.3,4.3,2.45,1.96,26.79,31.79,Public,Bedrock,90.5256,30.280091,604.23,BelowLimit,0.2,99.79,47.59
185,7.7,577.4,0.5,1.42,12.91,17.05,36.81,Public,Bedrock,188.976,30.280091,599.11,BelowLimit,0.2,240.41,67.02
186,7.27,256.2,7.54,2.19,0,25.1,25.1,Public,Bedrock,160.02,30.280091,1451.97,Detect,46.2,155.08,74.17
187,8.81,241.4,0.36,4.72,0,50.4,55.44,Public,Bedrock,70.104,26.495079,1272.95,BelowLimit,0.2,471.21,178.3
188,8.05,399.2,0.35,4.94,36.42,70.03,70.03,Public,Bedrock,76.2,26.495079,254.57,Detect,48.1,467.61,160.59
189,7.66,1019,0.43,2.44,7.22,60.58,62.01,Public,Bedrock,80.1624,26.495079,916.83,Detect,0.96,332.67,163.41
190,7.3,426.7,0.59,4.99,9.2,29.02,35.93,Public,Bedrock,121.92,24.602574,141.77,BelowLimit,0.2,65.12,0
191,8.12,234.8,0.53,1.2,0,18.59,29.22,Public,Bedrock,91.44,22.710068,716.44,BelowLimit,0.2,31.78,13.84
192,7.4,418.3,7.33,2.26,0,23.68,32.55,Public,Bedrock,132.588,22.710068,4156.63,Detect,4.34,178.29,52.88
193,8.21,238.6,0.43,1.34,0,21.47,27.16,Public,Bedrock,60.3504,18.925057,723.89,BelowLimit,0.2,132.18,44.43
194,8.12,161.2,0.49,1.77,11.35,32.64,32.64,Public,Bedrock,152.4,18.925057,270.91,BelowLimit,0.2,39.59,14.79
195,7.53,447.6,0.32,2.72,18.79,40.13,40.13,Public,Bedrock,121.92,18.925057,65.93,Detect,15.61,150.51,56.71
196,7.45,1192,0.17,4.33,21.36,35.89,51.75,Public,Bedrock,152.4,18.925057,142.26,Detect,32.8,74.74,26.03
197,8.31,208.5,0.59,3.8,0,52.14,55.38,Public,Bedrock,91.44,11.355034,1703.94,BelowLimit,0.2,706.51,297.05
198,6.4,152.2,2.73,3.28,10.96,32.76,32.76,Public,Bedrock,38.1,11.355034,539.56,BelowLimit,0.2,58.38,18.36
